Model_Patient,JAC0%,JAC2%,μHE,Total DVFs
B-Spline - pt001,70,80,0,636
B-Spline - pt002,55,9,4,477
B-Spline - pt011,43,15,0,318
B-Spline - pt022,345,249,30,477
MSE - pt001,0,30,2,636
MSE - pt002,0,6,0,477
MSE - pt011,0,19,0,318
MSE - pt022,0,40,0,477
MSE + Dice - pt001,0,32,2,636
MSE + Dice - pt002,0,6,0,477
MSE + Dice - pt011,0,20,0,318
MSE + Dice - pt022,0,41,0,477
NCC - pt001,0,0,0,636
NCC - pt002,0,0,0,477
NCC - pt011,0,0,0,318
NCC - pt022,0,0,0,477
NCC + Dice - pt001,0,0,0,636
NCC + Dice - pt002,0,0,0,477
NCC + Dice - pt011,0,0,0,318
NCC + Dice - pt022,0,0,0,477
